pckeiba=# \d jvd_hr
                                  テーブル"public.jvd_hr"
             列             |        タイプ         | 照合順序 | Null 値を許容 | デフォルト
----------------------------+-----------------------+----------+---------------+------------
 record_id                  | character varying(2)  |          |               |
 data_kubun                 | character varying(1)  |          |               |
 data_sakusei_nengappi      | character varying(8)  |          |               |
 kaisai_nen                 | character varying(4)  |          | not null      |
 kaisai_tsukihi             | character varying(4)  |          | not null      |
 keibajo_code               | character varying(2)  |          | not null      |
 kaisai_kai                 | character varying(2)  |          |               |
 kaisai_nichime             | character varying(2)  |          |               |
 race_bango                 | character varying(2)  |          | not null      |
 toroku_tosu                | character varying(2)  |          |               |
 shusso_tosu                | character varying(2)  |          |               |
 fuseiritsu_flag_tansho     | character varying(1)  |          |               |
 fuseiritsu_flag_fukusho    | character varying(1)  |          |               |
 fuseiritsu_flag_wakuren    | character varying(1)  |          |               |
 fuseiritsu_flag_umaren     | character varying(1)  |          |               |
 fuseiritsu_flag_wide       | character varying(1)  |          |               |
 yobi_1                     | character varying(1)  |          |               |
 fuseiritsu_flag_umatan     | character varying(1)  |          |               |
 fuseiritsu_flag_sanrenpuku | character varying(1)  |          |               |
 fuseiritsu_flag_sanrentan  | character varying(1)  |          |               |
 tokubarai_flag_tansho      | character varying(1)  |          |               |
 tokubarai_flag_fukusho     | character varying(1)  |          |               |
 tokubarai_flag_wakuren     | character varying(1)  |          |               |
 tokubarai_flag_umaren      | character varying(1)  |          |               |
 tokubarai_flag_wide        | character varying(1)  |          |               |
 yobi_2                     | character varying(1)  |          |               |
 tokubarai_flag_umatan      | character varying(1)  |          |               |
 tokubarai_flag_sanrenpuku  | character varying(1)  |          |               |
 tokubarai_flag_sanrentan   | character varying(1)  |          |               |
 henkan_flag_tansho         | character varying(1)  |          |               |
 henkan_flag_fukusho        | character varying(1)  |          |               |
 henkan_flag_wakuren        | character varying(1)  |          |               |
 henkan_flag_umaren         | character varying(1)  |          |               |
 henkan_flag_wide           | character varying(1)  |          |               |
 yobi_3                     | character varying(1)  |          |               |
 henkan_flag_umatan         | character varying(1)  |          |               |
 henkan_flag_sanrenpuku     | character varying(1)  |          |               |
 henkan_flag_sanrentan      | character varying(1)  |          |               |
 henkan_umaban_joho         | character varying(28) |          |               |
 henkan_wakuban_joho        | character varying(8)  |          |               |
 henkan_dowaku_joho         | character varying(8)  |          |               |
 haraimodoshi_tansho_1a     | character varying(2)  |          |               |
 haraimodoshi_tansho_1b     | character varying(9)  |          |               |
 haraimodoshi_tansho_1c     | character varying(2)  |          |               |
 haraimodoshi_tansho_2a     | character varying(2)  |          |               |
 haraimodoshi_tansho_2b     | character varying(9)  |          |               |
 haraimodoshi_tansho_2c     | character varying(2)  |          |               |
 haraimodoshi_tansho_3a     | character varying(2)  |          |               |
 haraimodoshi_tansho_3b     | character varying(9)  |          |               |
 haraimodoshi_tansho_3c     | character varying(2)  |          |               |
 haraimodoshi_fukusho_1a    | character varying(2)  |          |               |
 haraimodoshi_fukusho_1b    | character varying(9)  |          |               |
 haraimodoshi_fukusho_1c    | character varying(2)  |          |               |
 haraimodoshi_fukusho_2a    | character varying(2)  |          |               |
 haraimodoshi_fukusho_2b    | character varying(9)  |          |               |
 haraimodoshi_fukusho_2c    | character varying(2)  |          |               |
 haraimodoshi_fukusho_3a    | character varying(2)  |          |               |
 haraimodoshi_fukusho_3b    | character varying(9)  |          |               |
 haraimodoshi_fukusho_3c    | character varying(2)  |          |               |
 haraimodoshi_fukusho_4a    | character varying(2)  |          |               |
 haraimodoshi_fukusho_4b    | character varying(9)  |          |               |
 haraimodoshi_fukusho_4c    | character varying(2)  |          |               |
 haraimodoshi_fukusho_5a    | character varying(2)  |          |               |
 haraimodoshi_fukusho_5b    | character varying(9)  |          |               |
 haraimodoshi_fukusho_5c    | character varying(2)  |          |               |
 haraimodoshi_wakuren_1a    | character varying(2)  |          |               |
 haraimodoshi_wakuren_1b    | character varying(9)  |          |               |
 haraimodoshi_wakuren_1c    | character varying(2)  |          |               |
 haraimodoshi_wakuren_2a    | character varying(2)  |          |               |
 haraimodoshi_wakuren_2b    | character varying(9)  |          |               |
 haraimodoshi_wakuren_2c    | character varying(2)  |          |               |
